"ad_date","source","campaign_name","audience_segment","total_spend","total_impressions","total_reach","total_clicks","total_leads","total_value","utm_campaign"
2021-04-15,google,Electronics,Narrow,3288,39029,42201,424,7,2215,discounts
2021-04-16,facebook,Electronics,Narrow,8602,24930,24315,379,7,6975,discounts
2021-04-16,google,Electronics,Narrow,8969,26418,15987,395,2,13380,discounts
2021-04-17,facebook,Electronics,Narrow,6244,30333,9279,146,1,6210,discounts
2021-04-18,facebook,Electronics,Narrow,6705,48260,56003,336,3,8993,discounts
2021-04-18,google,Electronics,Narrow,12835,35800,37535,380,6,8740,discounts
2021-04-19,facebook,Electronics,Narrow,16880,58723,47325,252,6,26813,discounts
2021-04-19,google,Electronics,Narrow,5962,47308,26299,427,2,5325,discounts
2021-04-20,facebook,Electronics,Narrow,17115,60798,17491,522,2,14059,discounts
2021-04-20,google,Electronics,Narrow,9720,13320,7425,450,0,10400,discounts
2021-04-21,facebook,Electronics,Narrow,8331,29609,24493,371,5,12490,discounts
2021-04-21,google,Electronics,Narrow,5284,36737,16729,447,7,3948,discounts
2021-04-22,facebook,Electronics,Narrow,12584,37979,14110,435,2,16618,discounts
2021-04-22,google,Electronics,Narrow,3037,4045,22306,403,1,4868,discounts
2021-04-23,google,Electronics,Narrow,5111,26342,31821,65,2,3797,discounts
2021-04-24,facebook,Electronics,Narrow,7372,42140,18776,120,6,6511,discounts
2021-04-24,facebook,Promos,Parents,1139,8829,3956,68,1,1237,discounts
2021-04-25,facebook,Electronics,Narrow,12020,33747,41282,64,2,17466,discounts
2021-04-25,facebook,Promos,Parents,2043,3315,6646,135,0,4755,discounts
2021-04-25,google,Promos,Parents,2933,8121,6748,48,2,4221,discounts
2021-04-26,facebook,Electronics,Narrow,16996,51159,29680,100,0,27851,discounts
2021-04-26,facebook,Promos,Parents,2327,15496,4822,18,1,3003,discounts
2021-04-26,google,Electronics,Narrow,5155,24984,20334,242,9,5779,discounts
2021-04-26,google,Promos,Parents,616,6324,10812,47,1,756,discounts
2021-04-27,facebook,Promos,Parents,1307,4808,9733,18,1,2917,discounts
2021-04-27,google,Electronics,Narrow,9524,12684,29647,264,4,9655,discounts
2021-04-28,facebook,Promos,Parents,1742,6041,3421,56,1,1853,discounts
2021-04-28,google,Electronics,Narrow,5422,42275,5693,59,2,4154,discounts
2021-04-29,facebook,Promos,Parents,446,8664,7638,28,1,590,discounts
2021-04-29,google,Promos,Parents,1834,4658,5910,39,1,1801,discounts
2021-04-30,facebook,Electronics,Narrow,3496,49608,9966,257,2,4105,discounts
2021-04-30,facebook,Promos,Parents,2006,9090,7790,31,0,4588,discounts
2021-04-30,google,Promos,Parents,973,12451,2857,21,1,1265,discounts
2021-05-01,facebook,Electronics,Narrow,8269,22655,40444,253,0,11305,discounts
2021-05-01,facebook,Promos,Parents,1985,9767,10211,51,1,4233,discounts
2021-05-01,google,Electronics,Narrow,8618,53355,42226,119,5,10548,discounts
2021-05-02,facebook,Electronics,Narrow,3104,69902,38153,289,4,3070,discounts
2021-05-02,google,Electronics,Narrow,14829,13369,27461,194,8,23858,discounts
2021-05-02,google,Promos,Parents,1894,7099,1097,49,0,2937,discounts
2021-05-03,facebook,Electronics,Narrow,11782,74494,44862,230,1,19255,discounts
2021-05-03,facebook,Promos,Parents,474,11315,3827,63,1,929,discounts
2021-05-03,google,Electronics,Narrow,1814,44455,16984,444,1,1833,discounts
2021-05-03,google,Promos,Parents,1155,5737,4508,91,0,795,discounts
2021-05-04,facebook,Electronics,Narrow,13898,17095,38104,491,2,14815,discounts
2021-05-04,google,Electronics,Narrow,3604,35246,11657,130,4,4209,discounts
2021-05-05,facebook,Electronics,Narrow,6610,31588,26187,211,1,9346,discounts
2021-05-05,facebook,Promos,Parents,723,2792,11984,37,1,906,discounts
2021-05-05,google,Electronics,Narrow,5553,62226,40817,125,1,8318,discounts
2021-05-06,facebook,Electronics,Narrow,8864,48172,22421,78,9,14437,discounts
2021-05-06,google,Electronics,Narrow,6946,39675,33004,103,3,6426,discounts
2021-05-06,google,Promos,Parents,2396,2182,6064,34,1,2133,discounts
2021-05-07,facebook,Electronics,Narrow,12384,53440,19655,412,3,13326,discounts
2021-05-07,facebook,Promos,Parents,1143,11992,8810,69,1,2481,discounts
2021-05-07,google,Electronics,Narrow,6218,50408,18231,124,6,4058,discounts
2021-05-07,google,Promos,Parents,910,12432,2154,15,1,1442,discounts
2021-05-08,facebook,Electronics,Narrow,17684,63243,40366,356,7,23943,discounts
2021-05-08,facebook,Promos,Parents,1539,6175,13844,36,1,2224,discounts
2021-05-08,google,Electronics,Narrow,4625,23553,8344,172,3,6632,discounts
2021-05-08,google,Promos,Parents,2494,9121,6052,65,1,3872,discounts
2021-05-09,facebook,Electronics,Narrow,7983,42770,33905,138,3,13366,discounts
2021-05-09,facebook,Promos,Parents,2264,10717,11166,33,1,3698,discounts
2021-05-09,google,Promos,Parents,1640,7187,9522,53,0,1217,discounts
2021-05-10,facebook,Electronics,Narrow,13986,29230,25881,323,4,14845,discounts
2021-05-10,facebook,Promos,Parents,2381,6669,4178,26,2,3796,discounts
2021-05-10,google,Electronics,Narrow,3319,49431,8680,83,7,5057,discounts
2021-05-10,google,Promos,Parents,2404,3057,3124,34,2,3656,discounts
2021-05-11,facebook,Electronics,Narrow,8447,51489,27212,97,4,8448,discounts
2021-05-11,facebook,Promos,Parents,1526,5442,3219,61,1,3129,discounts
2021-05-11,google,Electronics,Narrow,4389,6261,12566,271,6,4003,discounts
2021-05-12,facebook,Electronics,Narrow,16978,36296,13179,157,9,15421,discounts
2021-05-12,facebook,New items,Development,1371,2506,4958,26,0,1549,
2021-05-12,facebook,Promos,Parents,2322,11419,3914,51,0,3203,discounts
2021-05-12,google,Electronics,Narrow,13610,27227,42442,372,3,12730,discounts
2021-05-12,google,New items,Development,554,2227,2736,84,2,385,
2021-05-12,google,Promos,Parents,1521,6100,7284,33,0,2109,discounts
2021-05-13,facebook,Electronics,Narrow,14539,14178,27961,289,2,20553,discounts
2021-05-13,facebook,New items,Development,572,12187,11233,133,3,889,
2021-05-13,facebook,Promos,Parents,720,11236,5292,82,1,1310,discounts
2021-05-13,google,New items,Development,2360,3918,5813,108,0,1853,
2021-05-13,google,Promos,Parents,1705,6801,6200,26,2,1540,discounts
2021-05-14,facebook,Electronics,Narrow,8283,49061,9751,241,3,6294,discounts
2021-05-14,facebook,Lookalike,Broad,7195,15409,14542,353,7,11408,you_might_like
2021-05-14,facebook,Lookalike,Broad new,2573,6934,14329,77,2,2229,you_might_like
2021-05-14,facebook,New items,Development,972,3973,6806,70,3,1476,
2021-05-14,facebook,Promos,Parents,2044,3982,10648,52,1,4704,discounts
2021-05-15,facebook,Electronics,Narrow,937,7384,6809,43,0,963,discounts
2021-05-15,facebook,Lookalike,Broad,10380,8024,18761,206,10,15299,you_might_like
2021-05-15,facebook,Lookalike,Broad new,1098,892,515,13,1,1082,you_might_like
2021-05-15,facebook,Promos,Parents,2284,10127,4653,41,0,3394,discounts
2021-05-15,google,Promos,Parents,1670,7374,8499,59,2,2626,discounts
2021-05-16,facebook,Lookalike,Broad,13350,57090,24060,741,8,19085,you_might_like
2021-05-16,facebook,Lookalike,Broad new,891,3125,1527,20,1,1098,you_might_like
2021-05-16,facebook,New items,Development,2344,7986,12367,223,0,2958,
2021-05-16,facebook,Promos,Parents,1779,10720,12319,81,1,3663,discounts
2021-05-16,google,New items,Development,2635,6393,8389,257,4,1892,
2021-05-16,google,Promos,Parents,1359,11602,6059,71,0,1722,discounts
2021-05-17,facebook,Electronics,Narrow,1546,3529,9380,30,1,2089,discounts
2021-05-17,facebook,Lookalike,Broad,12972,58320,85830,668,24,12902,you_might_like
2021-05-17,facebook,Lookalike,Broad new,1864,4388,2503,79,3,2482,you_might_like
2021-05-17,facebook,New items,Development,4047,18038,11298,194,1,4684,
2021-05-17,facebook,Promos,Parents,1771,6396,13380,44,2,4041,discounts
2021-05-17,google,Electronics,Narrow,517,7465,3748,20,0,820,discounts
2021-05-17,google,New items,Development,3654,5858,10950,26,2,4686,
2021-05-17,google,Promos,Parents,968,2856,6144,65,0,738,discounts
2021-05-18,facebook,Electronics,Narrow,3219,6116,5998,60,1,3798,discounts
2021-05-18,facebook,Lookalike,Broad,24562,82442,73707,1308,5,31156,you_might_like
2021-05-18,facebook,Lookalike,Broad new,1235,6326,1751,71,2,1945,you_might_like
2021-05-18,facebook,New items,Development,1604,7497,7696,122,2,1633,
